FilmID,Title,Release_Date,DirectorID,Lead_Actor_Actress,LanguageID,Industry,GenreID,Budget,First_Day_Collection_Worldwide,Worldwide_Collection_in_Crores,Overseas_Collection,India_Gross_Collection,Verdict,IMDb_Rating,Runtime_mins,OTT_Platform,Year,Month,Month_Name,Week_Name
34,Sanju,29-06-2018,101,Ranbir Kapoor,501,Bollywood,623,100,54.4,588.5,150,438.5,Blockbuster,7.6,155,Netflix,2018,6,June,Friday
36,Simmba,28-12-2018,105,Ranveer Singh,501,Bollywood,605,125,20.2,390,95,295,Blockbuster,5.5,158,ZEE5,2018,12,December,Friday
225,Janatha Garage,1/9/16,140,N.T. Rama Rao Jr.,503,Kollywood,605,50,45,140,15,125,Blockbuster,7.2,162,Disney+ Hotstar,2016,9,September,Thursday
13,Kaththi,22-10-2014,107,Joseph Vijay,503,Kollywood,606,70,25,117.5,29,88.5,Blockbuster,8.1,166,Amazon Prime Video,2014,10,October,Wednesday
31,Maanikya,1/5/14,130,V. Ravichandran,507,Sandalwood,606,15,3.5,43,0,43,Blockbuster,6.5,165,ZEE5,2014,5,May,Thursday
190,Srimanthudu,7/8/15,140,Mahesh Babu,505,Tollywood,606,70,38,153,20,133,Blockbuster,7.5,158,ZEE5,2015,8,August,Friday
62,Kadaikutty Singam,13-07-2018,155,Karthi,503,Kollywood,606,25,7.2,70.1,7.1,63,Blockbuster,6.8,149,Disney+ Hotstar,2018,7,July,Friday
65,Irumbu Thirai,11/5/18,158,Vishal,503,Kollywood,607,20,2.3,61.7,14.7,47,Blockbuster,7.6,160,ZEE5,2018,5,May,Friday
78,Abrahaminte Santhathikal,22-06-2018,170,Mammootty,509,Mollywood,607,10,4.5,42.2,14.1,28.1,Blockbuster,6.7,131,Aha,2018,6,June,Friday
15,Veeram,10/1/14,114,Ajith Kumar,503,Kollywood,613,45,9,100,19.5,80.5,Blockbuster,6.5,161,Amazon Prime Video,2014,1,January,Friday
186,Tanu Weds Manu Returns,22-05-2015,142,Kangana Ranaut,501,Bollywood,608,40,9,258,44,214,Blockbuster,7.6,128,Amazon Prime Video,2015,5,May,Friday
55,Geetha Govindam,17-08-2018,149,Vijay Deverakonda,505,Tollywood,608,8.5,16,123,11,112.3,Blockbuster,7.7,142,ZEE5,2018,8,August,Friday
